bucket,count,pct_count,sum_ret,pct_sum,avg,group
-100%~-5%,12883,0.024990107153110234,-884.9087671041489,8.507085001940805,-0.06868809804425591,固定+6%止盈
-5%~-3%,292856,0.5680744252449934,-9941.058792471886,95.56853237379667,-0.0339452112726797,固定+6%止盈
-3%~0%,11988,0.023254009512651205,-139.5160794854164,1.341240127164746,-0.011637977935053088,固定+6%止盈
0%~3%,16373,0.03175991806395047,234.4627376794815,-2.254011388941687,0.014320084143375161,固定+6%止盈
3%~6%,166216,0.3224214585547909,9299.29507780075,-89.3989263366287,0.05594705129350214,固定+6%止盈
6%~10%,11672,0.02264104096026567,857.0705548524857,-8.23946189012334,0.07342962258845834,固定+6%止盈
10%~15%,2878,0.005582669284068249,340.77648520469666,-3.2760603511545727,0.11840739583206972,固定+6%止盈
15%~20%,432,0.0008379823247802236,73.681813955307,-0.708341331577306,0.17055975452617364,固定+6%止盈
20%~30%,190,0.00036855704099130203,44.26386320590973,-0.4255313777026186,0.2329677010837354,固定+6%止盈
>30%,36,6.983186039835197e-05,11.912896513938904,-0.11452482677400679,0.33091379205385846,固定+6%止盈
-100%~-5%,11257,0.02183603479178467,-773.4534671902657,1.4778781757867023,-0.06870866724618155,不设止盈(MA10)
-5%~-3%,125072,0.24261140121507438,-4314.621561944485,8.244174101824672,-0.034497102164709005,不设止盈(MA10)
-3%~0%,214213,0.41552478643089363,-2634.320097029209,5.033533812420117,-0.012297666794401876,不设止盈(MA10)
0%~3%,106279,0.20615723031323469,1143.6171708106995,-2.185169412111903,0.010760518736633761,不设止盈(MA10)
3%~6%,25585,0.04962911523032875,1090.6558365821838,-2.083973408296441,0.042628721382926865,不设止盈(MA10)
6%~10%,14729,0.028570929772425726,1138.8941160440445,-2.176144823227401,0.07732324774553904,不设止盈(MA10)
10%~15%,8386,0.0162669439250161,1020.7812609672546,-1.95046038556891,0.12172445277453549,不设止盈(MA10)
15%~20%,3929,0.0076213716529201355,676.8961786031723,-1.2933810915155677,0.17228205105705582,不设止盈(MA10)
20%~30%,3450,0.006692219954842064,833.5762927532196,-1.5927580173483444,0.24161631674006365,不设止盈(MA10)
>30%,2624,0.005089966713479877,1294.6202620267868,-2.473698951962924,0.49337662424801326,不设止盈(MA10)
