n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,period
175435,0.37295864565223585,-0.0015770323265579715,-0.033409059047698975,0.0019443835,0.054848622612572034,-0.035138512283535164,0.9284250519535114,-14.573778520166389,0.045323824698883755,0.284817099571228,-0.47065579891204834,5.644825718927238,-276.6666662096977,0.0019443835,样本内 2016-2020
338868,0.38924596007885076,0.0005061662810840289,-0.03292524814605713,0.0037450804,0.054933773558751633,-0.0341816537983796,1.0242456477423736,6.464211388928855,0.04558195419642248,0.37721967697143555,-0.5542555451393127,5.749707850844577,171.52355533838272,0.0037450804,样本外 2021-2026
515524,0.38368145808924514,-0.00020177568813261996,-0.03292524814605713,0.0031339647,0.0549121747509445,-0.03451228142103583,0.9905138511649101,-3.183717210531505,0.045504966207421116,0.37721967697143555,-0.5542555451393127,5.709724474515251,-104.02020984888077,0.0031339647,全样本 2016-2026
