,0
2015-12-01,1.0
2015-12-08,1.0
2015-12-15,1.0
2015-12-22,1.0
2015-12-29,1.0
2016-01-06,1.0
2016-01-13,1.0
2016-01-20,1.0
2016-01-27,1.0
2016-02-03,1.0
2016-02-17,1.0
2016-02-24,1.0
2016-03-02,1.0
2016-03-09,1.0
2016-03-16,1.0
2016-03-23,1.1091101204390992
2016-03-30,1.1143681806399712
2016-04-07,1.1273650871601002
2016-04-14,1.1606053837435761
2016-04-21,1.1106844265256712
2016-04-28,1.113426778603584
2016-05-06,1.1064876787222067
2016-05-13,1.0897413478496933
2016-05-20,1.0641431708894584
2016-05-27,1.06129016493922
2016-06-03,1.1086056151224055
2016-06-14,1.0730283717920692
2016-06-21,1.0865826164071464
2016-06-28,1.1083063189642028
2016-07-05,1.136834633771427
2016-07-12,1.1557525471694987
2016-07-19,1.1620470135483003
2016-07-26,1.1735034331222811
2016-08-02,1.1329870361430574
2016-08-09,1.1515576012388287
2016-08-16,1.1724604223038666
2016-08-23,1.1684570130607015
2016-08-30,1.17398655537672
2016-09-06,1.1814276100725052
2016-09-13,1.1619799574637537
2016-09-22,1.179248685370096
2016-09-29,1.1687354254319449
2016-10-13,1.1995103276127828
2016-10-20,1.2071171032888193
2016-10-27,1.2135472241531133
2016-11-03,1.2156906348406153
2016-11-10,1.2314661067581643
2016-11-17,1.250041290286254
2016-11-24,1.252486160472549
2016-12-01,1.2491512781709262
2016-12-08,1.2287812476256623
2016-12-15,1.1810598320522983
2016-12-22,1.197145234465097
2016-12-29,1.1811377007021004
2017-01-06,1.2002658506781625
2017-01-13,1.1715489685777607
2017-01-20,1.1641871659137746
2017-02-03,1.1730636417617593
2017-02-10,1.19976621956661
2017-02-17,1.1934678459629682
2017-02-24,1.224553144034545
2017-03-03,1.2189270145676545
2017-03-10,1.223502261126289
2017-03-17,1.2291330193852337
2017-03-24,1.232434716467907
2017-03-31,1.2070555571618111
2017-04-11,1.214973079781509
2017-04-18,1.1785486000608807
2017-04-25,1.148602843826664
2017-05-03,1.1689608310257373
2017-05-10,1.1123132795636832
2017-05-17,1.1327752610047903
2017-05-24,1.0861582459761205
2017-06-02,1.0642423445993399
2017-06-09,1.1013718338987437
2017-06-16,1.1166815807990822
2017-06-23,1.1046501864951397
2017-06-30,1.124969178376126
2017-07-07,1.1464813948419879
2017-07-14,1.1260752471897786
2017-07-21,1.1164936605604536
2017-07-28,1.1315387124087695
2017-08-04,1.1284039963310586
2017-08-11,1.119416003469095
2017-08-18,1.160453368959422
2017-08-25,1.1663476634456995
