bucket,count,pct_count,sum_ret,pct_sum,avg,group
-100%~-5%,3320,0.022645112884523567,-233.68329697847366,-0.6323713179898718,-0.07038653523448002,规则B(超跌+缩量A+不创新低+收涨)
-5%~-3%,78401,0.5347588841143169,-2656.085901916027,-7.187644834725517,-0.03387821458802856,规则B(超跌+缩量A+不创新低+收涨)
-3%~0%,3944,0.026901302776072573,-45.202465534210205,-0.12232257536529628,-0.011461071382913338,规则B(超跌+缩量A+不创新低+收涨)
0%~3%,5784,0.03945160630243503,83.19637560844421,0.225138049555757,0.014383882366605155,规则B(超跌+缩量A+不创新低+收涨)
3%~6%,50675,0.34564490826000954,2828.6166239976883,7.6545309216955015,0.055818778963940566,规则B(超跌+缩量A+不创新低+收涨)
6%~10%,3442,0.023477252574858467,252.8509750366211,0.6842410493449236,0.07346048083574117,规则B(超跌+缩量A+不创新低+收涨)
10%~15%,854,0.005824977832344315,101.6379314661026,0.27504281867823965,0.1190139712717829,规则B(超跌+缩量A+不创新低+收涨)
15%~20%,119,0.0008116772389332242,20.27681577205658,0.054871173422353814,0.17039340984921494,规则B(超跌+缩量A+不创新低+收涨)
20%~30%,57,0.0003887865766318805,13.314469456672668,0.03603033981255232,0.2335871834503977,规则B(超跌+缩量A+不创新低+收涨)
>30%,14,9.549143987449696e-05,4.613412976264954,0.012484375571357112,0.32952949830463957,规则B(超跌+缩量A+不创新低+收涨)
-100%~-5%,3528,0.019921398563490986,-244.4868906736374,-0.5372041838398773,-0.06929900529298112,规则C(超跌+缩量A+不创新低+站上MA5)
-5%~-3%,95755,0.5406954420201473,-3241.7408167123795,-7.122986123567123,-0.0338545330970955,规则C(超跌+缩量A+不创新低+站上MA5)
-3%~0%,4400,0.024845281655147492,-50.21291881799698,-0.11033143739329625,-0.011412027004090223,规则C(超跌+缩量A+不创新低+站上MA5)
0%~3%,6695,0.03780435470027556,96.72920274734497,0.21254036268445453,0.01444797651192606,规则C(超跌+缩量A+不创新低+站上MA5)
3%~6%,61332,0.34632063965306953,3424.782593727112,7.525178683498938,0.05584006055121489,规则C(超跌+缩量A+不创新低+站上MA5)
6%~10%,4148,0.023422324614898134,304.7385393381119,0.6695934406078934,0.07346637881825262,规则C(超跌+缩量A+不创新低+站上MA5)
10%~15%,1010,0.005703121470840674,119.84688150882721,0.26333618947548026,0.1186602787216111,规则C(超跌+缩量A+不创新低+站上MA5)
15%~20%,145,0.0008187649636355423,24.862736105918884,0.054630192322400045,0.17146714555806128,规则C(超跌+缩量A+不创新低+站上MA5)
20%~30%,69,0.00038961918959208564,15.977063536643982,0.03510595334462315,0.23155164545860843,规则C(超跌+缩量A+不创新低+站上MA5)
>30%,14,7.905316890274202e-05,4.613412976264954,0.010136922866506682,0.32952949830463957,规则C(超跌+缩量A+不创新低+站上MA5)
-100%~-5%,22406,0.026579231757472517,-1578.5966937541962,-0.7457878558127317,-0.0704541950260732,精简版(超跌+不创新低+收涨，无缩量)
-5%~-3%,449405,0.5331089729521975,-15249.185196399689,-7.204282877007605,-0.03393194378433637,精简版(超跌+不创新低+收涨，无缩量)
-3%~0%,22647,0.02686511923643132,-264.34702664613724,-0.1248873781206535,-0.011672496429820163,精简版(超跌+不创新低+收涨，无缩量)
0%~3%,31682,0.037582934059637786,453.7685798406601,0.21437717279753088,0.014322598947057006,精简版(超跌+不创新低+收涨，无缩量)
3%~6%,287099,0.3405726527866912,16042.28950059414,7.578974880862218,0.05587720438104674,精简版(超跌+不创新低+收涨，无缩量)
6%~10%,21987,0.026082190870818006,1622.103480219841,0.7663420816766863,0.07377557102923732,精简版(超跌+不创新低+收涨，无缩量)
10%~15%,5881,0.006976366239654373,699.8987184762955,0.3306582147319461,0.11901015447649982,精简版(超跌+不创新低+收涨，无缩量)
15%~20%,1074,0.0012740379767707526,183.0125494003296,0.08646194265078457,0.1704027461828022,精简版(超跌+不创新低+收涨，无缩量)
20%~30%,682,0.0008090259778004221,165.99757170677185,0.07842343365036233,0.24339819898353643,精简版(超跌+不创新低+收涨，无缩量)
>30%,126,0.0001494681425261777,41.74180853366852,0.019720384571461403,0.3312841947116549,精简版(超跌+不创新低+收涨，无缩量)
