n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,cand,regime
146610,0.415694700225087,0.002520530249540546,-0.03292524814605713,0.005864705,0.05422112731666011,-0.03426103618080559,1.125907498312107,21.057844542741947,0.045831048774184396,0.37721967697143555,-0.24401891231536865,6.201739308369143,369.53493988513947,0.005864705,规则B(超跌+缩量A+不创新低+收涨),全部
76336,0.40490725214839657,0.001732937316990978,-0.03292524814605713,0.0050640143,0.05467270979843799,-0.03428783067625193,1.0849294256579334,10.405025867652673,0.0460155258400894,0.37721967697143555,-0.21976101398468018,6.0992454412072945,132.2855030298233,0.0050640143,规则B(超跌+缩量A+不创新低+收涨),指数>MA60
70274,0.4274126988644449,0.003376062794992688,-0.032925188541412354,0.0067344657,0.05375641953502233,-0.03423078632880895,1.1722471038088174,19.620167327293878,0.04561473395592294,0.3186763525009155,-0.24401891231536865,6.313074536813046,237.24943685531616,0.0067344657,规则B(超跌+缩量A+不创新低+收涨),指数<MA60
32304,0.3560549777117385,-0.002535680832028566,-0.03292524814605713,0.0007500807,0.05460334198306154,-0.0341294237615145,0.884623637824577,-10.280483286426804,0.04433117139473486,0.3246772289276123,-0.19517582654953003,5.91691431401684,-81.9126335978508,0.0007500807,规则B(超跌+缩量A+不创新低+收涨),牛市
21554,0.45972905261204416,0.0065080666073047575,-0.032925188541412354,0.0099412175,0.05558127368756074,-0.035249460997526204,1.3417337672300838,20.25113252756991,0.047180942538821324,0.26561403274536133,-0.18996870517730713,5.450682007979958,140.27486765384674,0.0099412175,规则B(超跌+缩量A+不创新低+收涨),熊市
92752,0.4262333965844402,0.003354889445285746,-0.032925188541412354,0.0066987323,0.05376901208718159,-0.034096197114237545,1.1714892906994965,22.268839849255443,0.04588199178817528,0.37721967697143555,-0.24401891231536865,6.475472227013973,311.1727058291435,0.0066987323,规则B(超跌+缩量A+不创新低+收涨),震荡市
177096,0.41453787776121426,0.0025698480131465975,-0.03292524814605713,0.005907155,0.0543711662776378,-0.03410820121142341,1.1286914872439753,23.680860615214073,0.045668246164458366,0.37721967697143555,-0.24401891231536865,6.120861001942449,455.10980373620987,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),全部
93781,0.40891012038685876,0.002234485841115465,-0.03292524814605713,0.0055597327,0.05477451554761759,-0.03411218598225588,1.1108190780219651,14.917986098958133,0.045869587928313305,0.37721967697143555,-0.21976101398468018,6.052611936319724,209.5523166656494,0.0055597327,规则C(超跌+缩量A+不创新低+站上MA5),指数>MA60
83315,0.42087259197023347,0.0029473382592637635,-0.03292524814605713,0.0062982216,0.05393005297932937,-0.03410362322589894,1.1492297258188806,18.72292613567379,0.045437858741581245,0.3186763525009155,-0.24401891231536865,6.197683490367881,245.55748707056046,0.0062982216,规则C(超跌+缩量A+不创新低+站上MA5),指数<MA60
38035,0.3603260155120284,-0.001952509237868378,-0.03292524814605713,0.0013256589,0.05475967382697544,-0.033898274503124624,0.9099555775639709,-8.603832201964615,0.04425811121068909,0.3246772289276123,-0.18777036666870117,5.8603654528723546,-74.26368886232376,0.0013256589,规则C(超跌+缩量A+不创新低+站上MA5),牛市
