n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,cand,exit
146610,0.3343837391719528,0.0011508756965839897,-0.022955477237701416,0.0044905106,0.05523742579030695,-0.02602042993941579,1.0664492414634459,10.846293098654364,0.040628321432213704,0.37721967697143555,-0.24401891231536865,4.688718368460542,168.72988587617874,0.0044905106,规则B(缩量A),止损-2% + 止盈+6%
146610,0.415694700225087,0.002520530249540546,-0.03292524814605713,0.005864705,0.05422112731666011,-0.03426103618080559,1.125907498312107,21.057844542741947,0.045831048774184396,0.37721967697143555,-0.24401891231536865,6.201739308369143,369.53493988513947,0.005864705,规则B(缩量A),止损-3% + 止盈+6%
146610,0.5210695041265944,0.004220363090165306,0.009718179702758789,0.007569908,0.05333836731319106,-0.049219320381035415,1.1790365547059434,29.8937937828039,0.05405683056747498,0.37721967697143555,-0.24401891231536865,8.497674101357342,618.7474326491356,0.007569908,规则B(缩量A),止损-5% + 止盈+6%
146610,0.4995293636177614,0.004728799858747648,-0.0003446638584136963,0.00808001,0.054654033743408666,-0.04510253588384556,1.2094938948066738,33.87197221321446,0.05345548150410275,0.37721967697143555,-0.2654000520706177,7.450255780642521,693.2893472909927,0.00808001,规则B(缩量A),止损ATR×1.5 + 止盈+6%
146610,0.5552690812359321,0.00552391835574962,0.030044138431549072,0.008877597,0.05386637682065883,-0.05483408996778845,1.2265162102737273,36.080922975902105,0.05862075523370114,0.37721967697143555,-0.317623496055603,8.96819452970466,809.8616701364517,0.008877597,规则B(缩量A),止损ATR×2 + 止盈+6%
146610,0.35674237773685286,0.005473984392414102,-0.03292524814605713,0.008827843,0.07671982047890692,-0.03403803705853118,1.250008115751526,36.32015033819287,0.05770822470290779,0.37721967697143555,-0.34749364852905273,7.991364845508492,802.5408517718315,0.008827843,规则B(缩量A),止损-3% + 止盈+10%
146610,0.3198417570424937,0.008883572189457118,-0.03292524814605713,0.012248399,0.09996457705418017,-0.033946914584411125,1.3847488784203452,37.636680318180645,0.09037704190572828,4.013523101806641,-0.34749364852905273,10.577007025441647,1302.4205186963081,0.012248399,规则B(缩量A),"止损-3% + 止损/止盈(不设止盈,最长20日)"
146610,0.31971898233408363,0.007977405555348597,-0.032925188541412354,0.011339367,0.0907933053523957,-0.030944473075103653,1.3789572556716554,35.39921499452149,0.0862878875232636,4.013523101806641,-0.24401891231536865,9.101793874906214,1169.567428469658,0.011339367,规则B(缩量A),止损-3% + MACD死叉
146610,0.31606984516745107,0.0017714946667272001,-0.011114954948425293,0.005113034,0.05412245908093552,-0.02242185475623656,1.1155198354967288,10.78066616744526,0.06291816501638085,2.3447105884552,-0.24401891231536865,4.4548734738421665,259.7188330888748,0.005113034,规则B(缩量A),止损-3% + 跌破MA10
146610,0.31986904031102925,0.0005037698403573054,-0.009571701288223267,0.0038411992,0.045526272356408486,-0.02067054146991744,1.0358333792431869,3.703851252028333,0.05207873463572594,2.3343582153320312,-0.24401891231536865,3.084987381488302,73.85769629478455,0.0038411992,规则B(缩量A),止损-3% + 跌破MA5
146610,0.4186071891412591,0.0033779751131588404,-0.03292524814605713,0.0067249537,0.05563954998203263,-0.034250751192626404,1.1696354782149354,24.61424121833311,0.052547467488574515,2.0961720943450928,-0.24401891231536865,7.6004297114794355,495.2449313402176,0.0067249537,规则B(缩量A),止损-3% + +6%卖50%后MA5
