variant,exp,n,win_rate,avg_ret,avg_gross,median_ret,avg_win,avg_loss,profit_factor,t_stat,std,avg_hold,best,worst
random_all,随机全市场(基准),119480,0.3740040174087713,-0.0012305234925859463,0.0021037452,-0.03292524814605713,0.05724191239882896,-0.036165134159802124,0.9456464038937414,-8.879148394057145,0.04790338490039165,4.720764981586877,0.43429768085479736,-0.4967610239982605
仅超跌D2-D6,基准对照,4820739,0.3817396046539753,-0.0004834591350408248,0.0028536555,-0.03292524814605713,0.05528519440001672,-0.0349173383108894,0.9776051987411359,-23.055460118388513,0.04604079205339465,5.528583688102592,0.484305739402771,-0.5631601810455322
超跌D2-D6+缩量A,基准对照,1202390,0.37489333743627273,-0.0010521439492376797,0.0022772402,-0.03292524814605713,0.055209824738633506,-0.03479396510600839,0.9516254307813539,-25.342631905244925,0.04552459848933291,5.449473964354327,0.41234147548675537,-0.5542555451393127
超跌D2-D6+企稳A,基准对照,2342349,0.39320528238960123,0.0007815909528415806,0.004124357,-0.03292524814605713,0.055365236811808397,-0.03458881894187571,1.0372393420522368,25.857163195017648,0.04626200476341101,5.708742804765643,0.484305739402771,-0.5631601810455322
缩量A+企稳A(不限超跌),基准对照,1034367,0.37158184667530963,-0.0013969218131161573,0.0019360251,-0.03292524814605713,0.05660149129437136,-0.03569121667506402,0.9377180754643348,-29.573555433238916,0.0480403195148278,4.8932187511782566,9.860007286071777,-0.6100801825523376
超跌+缩量A+企稳A,完整策略,515524,0.38368145808924514,-0.00020177568813261996,0.0031339647,-0.03292524814605713,0.0549121747509445,-0.03451228142103583,0.9905138511649101,-3.183717210531505,0.045504966207421116,5.709724474515251,0.37721967697143555,-0.5542555451393127
