n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,rng
302076,0.3740317006316291,-0.0009168320050436122,-0.03292524814605713,0.0024167378,0.05636438793163095,-0.03514379226611036,0.9583237339084713,-10.145558048993017,0.049667458345317106,9.860007286071777,-0.5542555451393127,4.971973940332896,-276.9529447555542,0.0024167378,D1-D3
515524,0.38368145808924514,-0.00020177568813261996,-0.03292524814605713,0.0031339647,0.0549121747509445,-0.03451228142103583,0.9905138511649101,-3.183717210531505,0.045504966207421116,0.37721967697143555,-0.5542555451393127,5.709724474515251,-104.02020984888077,0.0031339647,D2-D6
519636,0.38439792470113693,-0.000163444622898358,-0.03292524814605713,0.0031723534,0.054779729552521236,-0.03447138960386844,0.9922978535650867,-2.5924675884417345,0.045447177607049805,0.37721967697143555,-0.47065579891204834,5.76446204650948,-84.93171006441116,0.0031723534,D3-D7
520553,0.38106974698061485,-0.0004379146629965609,-0.03292524814605713,0.0028967278,0.055087310521697234,-0.034624292544754784,0.9795653658205976,-6.920892827880434,0.04565200329666645,0.37721967697143555,-0.47065579891204834,5.58602101995378,-227.95779156684875,0.0028967278,D4-D8
1029076,0.37172959042869524,-0.0013803739676757937,-0.03292524814605713,0.0019518898,0.05659254665430699,-0.035681289163522055,0.9384242631349479,-29.148536719309767,0.04804008062026383,9.860007286071777,-0.6100801825523376,4.898389428963458,-1420.509721159935,0.0019518898,D1-D10
417049,0.379286366829797,-0.0005750215874290765,-0.03292524814605713,0.0027590913,0.05524569884693498,-0.03468420997312426,0.9732907890402934,-8.122264249041486,0.045719405724717714,0.37721967697143555,-0.45970141887664795,5.500269752475129,-239.81217801570892,0.0027590913,D5-D8
