n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,variant,key
149319,0.37188837321439333,-0.0014023539680193958,-0.03292524814605713,0.0019314613,0.057012928897532046,-0.03598850647549971,0.9379621138663623,-11.405732256276716,0.0475107637121991,0.378841757774353,-0.3048005700111389,4.728507423703614,-209.39809215068817,0.0019314613,随机全市场（基准）,random
4820739,0.3817396046539753,-0.0004834591350408248,-0.03292524814605713,0.0028536555,0.05528519440001672,-0.0349173383108894,0.9776051987411359,-23.055460118388513,0.04604079205339465,0.484305739402771,-0.5631601810455322,5.528583688102592,-2330.630307197571,0.0028536555,超跌D2-D6（基准）,oversold_base
1202390,0.37489333743627273,-0.0010521439492376797,-0.03292524814605713,0.0022772402,0.055209824738633506,-0.03479396510600839,0.9516254307813539,-25.342631905244925,0.04552459848933291,0.41234147548675537,-0.5542555451393127,5.449473964354327,-1265.0873631238937,0.0022772402,超跌+缩量A,+volA
2342349,0.39320528238960123,0.0007815909528415806,-0.03292524814605713,0.004124357,0.055365236811808397,-0.03458881894187571,1.0372393420522368,25.857163195017648,0.04626200476341101,0.484305739402771,-0.5631601810455322,5.708742804765643,1830.7587867975235,0.004124357,超跌+企稳A(收≥前收),+up
1268355,0.4052682411469975,0.0017496523337329215,-0.03292524814605713,0.0050998284,0.054904986331485606,-0.03447200288507795,1.085342254671763,42.60373064376457,0.04625136375632259,0.47225308418273926,-0.4760633111000061,5.941336613172179,2219.1802857518196,0.0050998284,超跌+不创新低(2日),+nolow2
2063644,0.3980865885782625,0.001339928007753475,-0.03292524814605713,0.00468343,0.05544084827725937,-0.03444071814558857,1.0646361151995498,41.55785364608084,0.04631756773341801,0.47225308418273926,-0.5631601810455322,5.747126442351491,2765.134393632412,0.00468343,超跌+站上MA5,+ma5here
760095,0.41183799393496867,0.0024690275199506506,-0.03292524814605713,0.0058203577,0.055440644530049425,-0.03462232530456083,1.1212474828967436,45.903486582682966,0.04689366698963501,0.43429768085479736,-0.4760633111000061,5.836707253698551,1876.6954727768898,0.0058203577,超跌+不创新低+收阳,+nolow2+green
842989,0.4134466760538987,0.002510926348946052,-0.03292524814605713,0.005863279,0.0551136404187051,-0.03456740292765012,1.1238396517060654,49.30751101997411,0.04675540760417175,0.47225308418273926,-0.4760633111000061,5.991411513080242,2116.6832919716835,0.005863279,超跌+不创新低+收涨,+nolow2+up
1070356,0.4094366734058575,0.002200006262889672,-0.03292524814605713,0.0055496246,0.055112525739365203,-0.03448416456246761,1.1080283478097137,48.977281606676705,0.0464722141069129,0.47225308418273926,-0.4760633111000061,5.922454772057147,2354.789903521538,0.0055496246,超跌+不创新低+站上MA5,+nolow2+ma5
146610,0.415694700225087,0.002520530249540546,-0.03292524814605713,0.005864705,0.05422112731666011,-0.03426103618080559,1.125907498312107,21.057844542741947,0.045831048774184396,0.37721967697143555,-0.24401891231536865,6.201739308369143,369.53493988513947,0.005864705,超跌+缩量A+不创新低+收涨【规则B】,ruleB
177096,0.41453787776121426,0.0025698480131465975,-0.03292524814605713,0.005907155,0.0543711662776378,-0.03410820121142341,1.1286914872439753,23.680860615214073,0.045668246164458366,0.37721967697143555,-0.24401891231536865,6.120861001942449,455.10980373620987,0.005907155,超跌+缩量A+不创新低+站上MA5【规则C】,ruleC
49232,0.3676673708157296,-0.0018939566827262033,-0.032925307750701904,0.001491454,0.054396549033022774,-0.03462385433974886,0.9134934409972258,-9.359175684978112,0.04490101739969571,0.3246772289276123,-0.21976101398468018,5.933559473513162,-93.24327540397644,0.001491454,超跌+缩量C(地量)+不创新低+收涨,ruleB_volC
183221,0.38680609755431966,-0.00011142144909329032,-0.03292524814605713,0.0032514918,0.054111369283129575,-0.03431545706977301,0.9947048144022183,-1.0582764246930731,0.04506686057627148,0.3246772289276123,-0.3472844362258911,6.075051440609974,-20.414749324321747,0.0032514918,超跌+缩量D+不创新低+收涨,ruleB_volD
16255,0.4072593048292833,0.0016191776771979564,-0.03292524814605713,0.004949619,0.05385233898537397,-0.03426909713962874,1.0797126229880185,4.556088059889848,0.045310190196295154,0.2230086326599121,-0.24401891231536865,6.087419255613657,26.319733142852783,0.004949619,超跌+缩量B+不创新低+收涨,ruleB_volB
81357,0.3705274284941677,-0.0014243271826279381,-0.032925307750701904,0.0019528769,0.05464686757791772,-0.03442960262698959,0.9342794875131194,-9.043922433728182,0.04492110147070436,0.3246772289276123,-0.21976101398468018,5.803827574763082,-115.87898659706116,0.0019528769,超跌+缩量E+不创新低+收涨,ruleB_volE
298205,0.3948491809325799,0.0005583017801159523,-0.03292524814605713,0.003895705,0.05611497667455269,-0.035691351837161926,1.0258489192376175,6.383127048750533,0.0477631525797376,0.9313544034957886,-0.6100801825523376,5.2771180899045955,166.48838233947754,0.003895705,不加超跌：缩量A+不创新低+收涨,noOversold
1895301,0.38818530671381485,6.103837681119715e-05,-0.03292524814605713,0.0034042394,0.05779354233198561,-0.036569186430020766,1.0027281470445362,1.6995200352697144,0.049444248796054094,1.2529897689819336,-0.6100801825523376,4.849855511077132,115.68609660863876,0.0034042394,全市场+不创新低+收涨,noOversold_noVol
