n,win_rate,avg_ret,median_ret,avg_gross,avg_win,avg_loss,profit_factor,t_stat,std,best,worst,avg_hold,sum_ret,avg_ret_gross,cand,slippage
146610,0.4184980560671168,0.004527612426793069,-0.030989110469818115,0.005864705,0.05596125295112618,-0.032488392077523236,1.239656854375509,37.75049426060519,0.04592280402037885,0.37997686862945557,-0.24250537157058716,6.201739308369143,663.7932578921318,0.005864705,规则B(超跌+缩量A+不创新低+收涨),0.0
146610,0.4171066093718027,0.0035235992851137634,-0.03195762634277344,0.005864705,0.05509048312988224,-0.03337660995071298,1.1811153080248622,29.40858969969462,0.045876905050821835,0.3785974979400635,-0.24326246976852417,6.201739308369143,516.5948911905289,0.005864705,规则B(超跌+缩量A+不创新低+收涨),0.0005
146610,0.415694700225087,0.002520530249540546,-0.03292524814605713,0.005864705,0.05422112731666011,-0.03426103618080559,1.125907498312107,21.057844542741947,0.045831048774184396,0.37721967697143555,-0.24401891231536865,6.201739308369143,369.53493988513947,0.005864705,规则B(超跌+缩量A+不创新低+收涨),0.001
146610,0.41289816520019096,0.0005175737166712077,-0.034857332706451416,0.005864705,0.05247418409218193,-0.03602257625813613,1.0244728194920318,4.332741393526418,0.04573948207012889,0.37446796894073486,-0.24552935361862183,6.201739308369143,75.88148260116577,0.005864705,规则B(超跌+缩量A+不创新低+收涨),0.002
146610,0.4102039424323034,-0.0014815681876398582,-0.03678584098815918,0.005864705,0.05070875862091136,-0.0377800098930437,0.9335097889160635,-12.42741585270452,0.045648089933080366,0.3717217445373535,-0.24703675508499146,6.201739308369143,-217.2127119898796,0.005864705,规则B(超跌+缩量A+不创新低+收涨),0.003
177096,0.4172539187785156,0.004577028757835375,-0.030989110469818115,0.005907155,0.05612106409970358,-0.032329183791843984,1.2429458804182014,42.09253493955447,0.04575967550723502,0.37997686862945557,-0.24250537157058716,6.120861001942449,810.5734848976135,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),0.0
177096,0.41590436825224736,0.0035729662530326464,-0.03195762634277344,0.005907155,0.05524563333441305,-0.033220474393123846,1.1841361786303304,32.89157289143987,0.04571393938977168,0.3785974979400635,-0.24326246976852417,6.120861001942449,632.7580315470695,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),0.0005
177096,0.41453787776121426,0.0025698480131465975,-0.03292524814605713,0.005907155,0.0543711662776378,-0.03410820121142341,1.1286914872439753,23.680860615214073,0.045668246164458366,0.37721967697143555,-0.24401891231536865,6.120861001942449,455.10980373620987,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),0.001
177096,0.41197994308171837,0.0005667926058292325,-0.034857332706451416,0.005907155,0.052595057394028755,-0.03588536802015061,1.0268605333389875,5.233386051666465,0.045577004624836576,0.37446796894073486,-0.24552935361862183,6.120861001942449,100.37670332193375,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),0.002
177096,0.40954058815557665,-0.0014324475162402022,-0.03678584098815918,0.005907155,0.05079870797593468,-0.03765979474996811,0.9355814833214344,-13.252748271341925,0.04548593703965976,0.3717217445373535,-0.24703675508499146,6.120861001942449,-253.68072533607483,0.005907155,规则C(超跌+缩量A+不创新低+站上MA5),0.003
842989,0.416163200231557,0.004517988985122733,-0.030989110469818115,0.005863279,0.0568590248417814,-0.03279108950081876,1.2359923123631855,88.54329363812828,0.04684901332327444,0.4752006530761719,-0.475014328956604,5.991411513080242,3808.615016579628,0.005863279,精简版(超跌+不创新低+收涨，无缩量),0.0
842989,0.41480493814272784,0.0035139857770909075,-0.03195762634277344,0.005863279,0.05598702574754258,-0.03368057979224876,1.1782870453117016,68.93579568526644,0.04680218838946392,0.47372615337371826,-0.47553902864456177,5.991411513080242,2962.251356244087,0.005863279,精简版(超跌+不创新低+收涨，无缩量),0.0005
842989,0.4134466760538987,0.002510926348946052,-0.03292524814605713,0.005863279,0.0551136404187051,-0.03456740292765012,1.1238396517060654,49.30751101997411,0.04675540760417175,0.47225308418273926,-0.4760633111000061,5.991411513080242,2116.6832919716835,0.005863279,精简版(超跌+不创新低+收涨，无缩量),0.001
842989,0.41077878833531634,0.000507988765854128,-0.03485739231109619,0.005863279,0.053356135192251124,-0.0363353853779079,1.0237271712304035,9.995436625589178,0.0466619938258128,0.4693117141723633,-0.47711002826690674,5.991411513080242,428.2289417386055,0.005863279,精简版(超跌+不创新低+收涨，无缩量),0.002
842989,0.4082235948511784,-0.0014911337440267007,-0.03678584098815918,0.005863279,0.0515784278362352,-0.03809997285450511,0.9338645539874108,-29.399022633527508,0.04656875844881341,0.4663757085800171,-0.47815489768981934,5.991411513080242,-1257.0093437433243,0.005863279,精简版(超跌+不创新低+收涨，无缩量),0.003
149319,0.3736363088421433,0.0005968739196066055,-0.03098917007446289,0.0019314613,0.05885721566641154,-0.03415638421053618,1.0278987109921773,4.844840942947692,0.047605881973118304,0.38160204887390137,-0.30340880155563354,4.728507423703614,89.12461680173874,0.0019314613,随机全市场(基准),0.0
149319,0.3727656895639537,-0.00040321004881783555,-0.03195768594741821,0.0019314613,0.05793505917874312,-0.03507367496879552,0.9816717809228181,-3.276140790489174,0.04755830046842961,0.3802211284637451,-0.3041050434112549,4.728507423703614,-60.20692127943039,0.0019314613,随机全市场(基准),0.0005
149319,0.37188837321439333,-0.0014023539680193958,-0.03292524814605713,0.0019314613,0.057012928897532046,-0.03598850647549971,0.9379621138663623,-11.405732256276716,0.0475107637121991,0.378841757774353,-0.3048005700111389,4.728507423703614,-209.39809215068817,0.0019314613,随机全市场(基准),0.001
149319,0.37014043758664333,-0.0033974730977816073,-0.03485739231109619,0.0019314613,0.05516504934468246,-0.037812061645070776,0.8573466607413589,-27.687905182795316,0.04741584165153502,0.3760867118835449,-0.30618953704833984,4.728507423703614,-507.3072854876518,0.0019314613,随机全市场(基准),0.002
