,0
2015-12-01,1.0
2015-12-08,1.0
2015-12-15,1.0
2015-12-22,1.0
2015-12-29,1.0
2016-01-06,1.0
2016-01-13,1.0
2016-01-20,1.0
2016-01-27,1.0
2016-02-03,1.0
2016-02-17,1.0
2016-02-24,1.0
2016-03-02,1.0
2016-03-09,1.0
2016-03-16,1.0
2016-03-23,1.0852660960314775
2016-03-30,1.095198459862069
2016-04-07,1.1092006994008545
2016-04-14,1.1393077426320868
2016-04-21,1.0763734289572202
2016-04-28,1.0856019846344833
2016-05-06,1.0915905253802602
2016-05-13,1.0475110894187791
2016-05-20,1.0453620732893378
2016-05-27,1.0463972487497322
2016-06-03,1.0993157309383093
2016-06-14,1.0686893351884077
2016-06-21,1.094780444983309
2016-06-28,1.1178369976055154
2016-07-05,1.140814955077322
2016-07-12,1.1527244043955065
2016-07-19,1.1581491294989545
2016-07-26,1.1687669146169521
2016-08-02,1.1161507963844928
2016-08-09,1.1432648256648694
2016-08-16,1.1691391596131044
2016-08-23,1.1654836892115272
2016-08-30,1.1743568890283353
2016-09-06,1.182179465210911
2016-09-13,1.1594812875978848
2016-09-22,1.1742963829976556
2016-09-29,1.1578800976201646
2016-10-13,1.1924470133751417
2016-10-20,1.2015641291923063
2016-10-27,1.210025026253753
2016-11-03,1.2122563327901725
2016-11-10,1.225316856446412
2016-11-17,1.2437695728288793
2016-11-24,1.2451057431067145
2016-12-01,1.2351898380264812
2016-12-08,1.213994315817159
2016-12-15,1.1820803065058274
2016-12-22,1.2068332424803616
2016-12-29,1.1889853297886261
2017-01-06,1.209431510816283
2017-01-13,1.1781314736950612
2017-01-20,1.167641438890442
2017-02-03,1.1783205828022751
2017-02-10,1.205093962860015
2017-02-17,1.200366969751641
2017-02-24,1.2326241288244073
2017-03-03,1.2246326778428898
2017-03-10,1.2273643084691759
2017-03-17,1.2310214951668974
2017-03-24,1.2347809421050004
2017-03-31,1.20091546068957
2017-04-11,1.2219982345568923
2017-04-18,1.1790315911207676
2017-04-25,1.13637961865985
2017-05-03,1.1379549313717614
2017-05-10,1.0982267646858215
2017-05-17,1.1124009430780089
2017-05-24,1.0665200832521904
2017-06-02,1.0577523409245118
2017-06-09,1.0925094826468889
2017-06-16,1.1007926516228899
2017-06-23,1.091634771944601
2017-06-30,1.1063225268385664
2017-07-07,1.1249722696951898
2017-07-14,1.1006024949312363
2017-07-21,1.088745818063687
2017-07-28,1.1035359316338298
2017-08-04,1.1017829898658038
2017-08-11,1.0894422519438451
2017-08-18,1.126198643664906
2017-08-25,1.1314821707820086
