,0
2015-12-01,1.0
2015-12-08,1.0
2015-12-15,1.0
2015-12-22,1.0
2015-12-29,1.0
2016-01-06,1.0
2016-01-13,1.0
2016-01-20,1.0
2016-01-27,1.0
2016-02-03,1.0
2016-02-17,1.0
2016-02-24,1.0
2016-03-02,1.0
2016-03-09,1.0
2016-03-16,1.0
2016-03-23,1.0986660431506126
2016-03-30,1.103023402695432
2016-04-07,1.1166434631938806
2016-04-14,1.1469274474755662
2016-04-21,1.0976803063865999
2016-04-28,1.0960080978154458
2016-05-06,1.094986332950664
2016-05-13,1.085685027532611
2016-05-20,1.0727533738214632
2016-05-27,1.0646371145306386
2016-06-03,1.1135128078815364
2016-06-14,1.0803101929081529
2016-06-21,1.0940592405428424
2016-06-28,1.1129636515474282
2016-07-05,1.136865379404317
2016-07-12,1.152169227537359
2016-07-19,1.1563241594015987
2016-07-26,1.1671236724687277
2016-08-02,1.1195639137125195
2016-08-09,1.1412660763363525
2016-08-16,1.1631611291345973
2016-08-23,1.1580657459626995
2016-08-30,1.1631001591422405
2016-09-06,1.1688317354236735
2016-09-13,1.1480824407495576
2016-09-22,1.1595920125855401
2016-09-29,1.1438305070574628
2016-10-13,1.17519438660097
2016-10-20,1.184157272949575
2016-10-27,1.1887363612449326
2016-11-03,1.188891447766475
2016-11-10,1.2008686113915696
2016-11-17,1.2180034733121086
2016-11-24,1.2176232684197796
2016-12-01,1.2110096367161474
2016-12-08,1.1844322500592115
2016-12-15,1.1490134751026468
2016-12-22,1.1690795416356594
2016-12-29,1.148969628741522
2017-01-06,1.1654532096798205
2017-01-13,1.1380414872943048
2017-01-20,1.1338880093600878
2017-02-03,1.1430482751886195
2017-02-10,1.1687283047054933
2017-02-17,1.1628344781983777
2017-02-24,1.1920183179907515
2017-03-03,1.1857817693640915
2017-03-10,1.1886888759619216
2017-03-17,1.1899180600787544
2017-03-24,1.191365205438076
2017-03-31,1.1627709399572688
2017-04-11,1.174561367924568
2017-04-18,1.1365950034341439
2017-04-25,1.0998069110669242
2017-05-03,1.1167372025089153
2017-05-10,1.069149659256398
2017-05-17,1.0874615554162281
2017-05-24,1.040548066534064
2017-06-02,1.0165664027803876
2017-06-09,1.0497898977274815
2017-06-16,1.061530159413729
2017-06-23,1.0488802089114637
2017-06-30,1.0662766186369894
2017-07-07,1.0881510129793626
2017-07-14,1.067816684410237
2017-07-21,1.0533173565944258
2017-07-28,1.0683217931430866
2017-08-04,1.0652661476257317
2017-08-11,1.0557044258954282
2017-08-18,1.094755335140817
2017-08-25,1.1012711713789385
