,0
2015-12-01,1.0
2015-12-08,1.0
2015-12-15,1.0
2015-12-22,1.0
2015-12-29,1.0
2016-01-06,1.0
2016-01-13,1.0
2016-01-20,1.0
2016-01-27,1.0
2016-02-03,1.0
2016-02-17,1.0
2016-02-24,1.0
2016-03-02,1.0
2016-03-09,1.0
2016-03-16,1.0
2016-03-23,1.1322644094172842
2016-03-30,1.141676456670313
2016-04-07,1.1551662232847444
2016-04-14,1.1875261302204276
2016-04-21,1.1398643337264025
2016-04-28,1.1554629405865837
2016-05-06,1.146672863912365
2016-05-13,1.1381015165256927
2016-05-20,1.1218513467221256
2016-05-27,1.1235895800000664
2016-06-03,1.172503552592349
2016-06-14,1.131405290421029
2016-06-21,1.1488180706302904
2016-06-28,1.1703860636780095
2016-07-05,1.2001220518853464
2016-07-12,1.2205751459944179
2016-07-19,1.2240284355765814
2016-07-26,1.2374832550267676
2016-08-02,1.1975440582087826
2016-08-09,1.2225014437212085
2016-08-16,1.2460278778728133
2016-08-23,1.2442776372846638
2016-08-30,1.2507230761334271
2016-09-06,1.2564872137107044
2016-09-13,1.231915230228241
2016-09-22,1.2466358078570732
2016-09-29,1.2340680168899358
2016-10-13,1.2680746821783515
2016-10-20,1.2766781519866388
2016-10-27,1.2834227702650545
2016-11-03,1.2800424134385877
2016-11-10,1.2935437742177123
2016-11-17,1.3149774524375841
2016-11-24,1.3170295643955183
2016-12-01,1.3143101743172176
2016-12-08,1.2885645706858602
2016-12-15,1.2446594051949704
2016-12-22,1.270319996365251
2016-12-29,1.2551710928129436
2017-01-06,1.27670287995204
2017-01-13,1.2460343695365659
2017-01-20,1.2389531857012164
2017-02-03,1.2515851145346801
2017-02-10,1.2813357537945733
2017-02-17,1.27491815918542
2017-02-24,1.306265220688151
2017-03-03,1.2998407478303011
2017-03-10,1.3031096976950909
2017-03-17,1.3079003246256486
2017-03-24,1.3093406307607143
2017-03-31,1.2809140191543642
2017-04-11,1.2887894661692452
2017-04-18,1.2473472363174014
2017-04-25,1.1964479905578278
2017-05-03,1.215851667009552
2017-05-10,1.165756317535515
2017-05-17,1.1877963321272507
2017-05-24,1.1347305777017376
2017-06-02,1.1151846154548115
2017-06-09,1.1542162415963186
2017-06-16,1.1688636616814354
2017-06-23,1.1576855132711805
2017-06-30,1.1792306223197906
2017-07-07,1.201573128414956
2017-07-14,1.184355579110809
2017-07-21,1.1595961429600725
2017-07-28,1.175993500878633
2017-08-04,1.1751666011708257
2017-08-11,1.165609745225087
2017-08-18,1.2078761247772316
2017-08-25,1.2144421397347192
